answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,experiment_id,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,raw_response_sha256,reasoning_content_present,reasoning_tokens_observed,record_mode_created_at_utc,record_mode_role,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,task_id
False,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget300::run1,200,False,8cda732d2b7dfd9491d5145b6a0c64d39fb34b85d46788bb835974c56e09d671,budget300_diagnostic,True,mature_ssr_loop,224f2a57aea61932b213e4a525d68241380701ff92a18e5e015e24dc76381ba5,[],anthropic/claude-opus-4.8,openrouter_claude48,True,True,e48d2b1f6d47da1cdad4675787263fc347eaf18f17340456eeb5d36b4e2673a4,False,['API_01_C3B486'],True,openrouter,3,c8eed0cb5ea721800e123dfd9ec9562f30b792d8d883c0992b736567703e793e,False,0,2026-06-29T03:47:39Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,True,True,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::rolling_summary::budget300::run1,200,False,9c377694226a46a0d4a4febd373d33cce150e015c238818dc81f7f92e5f5cfd5,budget300_diagnostic,False,rolling_summary,e0ebcbeff7d28b9008e13b7707ac852e80d0073fe1571d4c5a1f1b684f101582,"['API_01_10BBFA', 'API_01_C1FFF0']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,eff82ee73dee88a9c00576780625b6d323c2dd99ab4bd458c5185d0393192a0c,False,[],False,openrouter,4,5c09be4870d70a92e2f4f3c8f79b648c6a8a08c8cca1e78943acd079a9ec771b,False,0,2026-06-29T03:47:41Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,False,False,False,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['N'], 'required_token_present_in_state': False}",False,True,True,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::rolling_visible_carry_forward::budget300::run1,200,False,7eb05fcd8c465b8cc113e5df3a73795da473a2d7cc271ba515f1d5607c02d712,budget300_diagnostic,True,rolling_visible_carry_forward,6e549db18a532ae1f733daa4a303d9b72b9f2c03dd2437402fd0ab410da86159,[],anthropic/claude-opus-4.8,openrouter_claude48,True,True,d2b69b0d07d6e7a459e6311fb98227cd6e2e1ae9c844b292c23dbcc8eef84c85,False,[],False,openrouter,4,8a4eeaf75cbd749c606205ed7b09cdf68f4764e04fa65a63309c793f3bc33412,False,0,2026-06-29T03:47:50Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['NOTE', 'VISIBLE_KEEP'], 'required_token_present_in_state': True}",False,False,True,True,0.666667,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::ssr_no_visible_carry::budget300::run1,200,False,c9ea85dbbdf248ad6977def199e9887d8033d51add230d4389082945b1990f2b,budget300_diagnostic,True,ssr_no_visible_carry,086f3fd250d6e8c43e4b94209de337a3be29069380a6232883d8a888ebd3839f,"['API_01_10BBFA', 'API_01_C1FFF0']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,3ee95d3000d292475375f55c5cdc30a27ff886f6a7ac8139b67f28eeec08b67d,False,[],False,openrouter,4,8505f2c7ffb315c2b6db5830362e060033d7dae2106463a893d201524983875d,False,0,2026-06-29T03:47:44Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::ssr_no_visible_carry::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': False}",False,False,True,True,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget300::run1,200,False,591d96a46f603ea150b16ce10dfcc77ddab99eeec4941def0b85f6f5e1e6f288,budget300_diagnostic,True,mature_ssr_loop,5f1256d85853d1c11b7996b05a948a102d726dff3ec2dfd52a242c6154f5b7b1,[],anthropic/claude-opus-4.8,openrouter_claude48,True,True,0030bda2ae41532f9ac63ba4105451cfeee629f66068e2b2a9034fde03efff90,False,['API_02_76155B'],True,openrouter,3,81fde04078df333873a0de0019f49fc28d8e4f09bcd72b05d4fc4154db4d82f6,False,0,2026-06-29T03:47:41Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,0,1.0,,,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'G', 'N', 'NO', 'OUT', 'OUTPUT'], 'required_token_present_in_state': True}",False,False,True,True,0.0,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::openrouter_claude48::rolling_summary::budget300::run1,200,False,5a0de4d65e9831327b2b0ac3d4ed2194a3d99929438078b5e111358b8a21f3a6,budget300_diagnostic,True,rolling_summary,98607f7e6d2f33529bc0533d823f64e90e63678b3e934f15e1f426e9145a35a2,"['API_02_486764', 'API_02_E90D41']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,b6edc30a3ca5af55722bb895fb41478662b20a566fbf283ee06b8e6cb51e8c0e,False,[],False,openrouter,4,0f3248aca694fc6153eb2c371ebb28d8d012e35c05399dadfe4899905507307f,False,0,2026-06-29T03:47:45Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,2,0.333333,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::openrouter_claude48::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,False,False,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': True}",False,False,True,True,0.142857,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,['API_02_314918'],True,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::openrouter_claude48::rolling_visible_carry_forward::budget300::run1,200,False,6c1dce2493352aa0422b2fac21a991e049d14f46303133bbb28045591fb11aa2,budget300_diagnostic,True,rolling_visible_carry_forward,d0f35eceb04825f69e3cc920443c9c8f32f2e3f379e8ea5c2b3826fff5f13e19,[],anthropic/claude-opus-4.8,openrouter_claude48,True,True,405c0e204294274b5b516c341f3d9f47db5827766409b46a331fa86622bb3098,False,['API_02_76155B'],True,openrouter,4,d2f52baae3430ea28cfe2633c955c3dcc6813e8455a017b113dab4606b16207a,False,0,2026-06-29T03:47:44Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::openrouter_claude48::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['NOTE', 'VISIBLE_KEEP'], 'required_token_present_in_state': True}",False,False,True,True,0.714286,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,['src/api/unit_02_d73504.py'],True,True,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::openrouter_claude48::ssr_no_visible_carry::budget300::run1,200,False,b6297437d90c55a4456a3162731b799a880b1eeb8f2e48f8cb8ca87c1507a5e3,budget300_diagnostic,True,ssr_no_visible_carry,0237e7b363366bd5dcae8720838bbd9e99195668818fd241054b4a72505393a7,['API_02_E90D41'],anthropic/claude-opus-4.8,openrouter_claude48,True,False,dab10a9e0888c135ad5cb0acbe1be9537929ad77666e43cbe39740c7cc3467b7,False,[],False,openrouter,4,29fcf35a29412fd3a82b98c8a7fe7028e236fc254b78cfcfe1beef79dc176502,False,0,2026-06-29T03:47:56Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,1,0.666667,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::openrouter_claude48::ssr_no_visible_carry::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': True}",False,False,True,True,0.714286,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,['API_03_D31B2E'],True,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00003_api_migration_state_transition_medium::openrouter_claude48::mature_ssr_loop::budget300::run1,200,False,d1f70cf0dce38b92614bcfab96bdef88836b04cc73a49903c29a7910a3ce5b7d,budget300_diagnostic,True,mature_ssr_loop,12d41802f9461c9a0f1832d7b2d76af7bc9d55c6e33b8a3bd5664950ee455983,[],anthropic/claude-opus-4.8,openrouter_claude48,True,True,49d34499005535d2ea3540f791ce6b2a6a5182832d8d13eda2db98b67e5720e3,False,['API_03_A0307E'],True,openrouter,5,9e556ac52c688bb1b1c141fe1e8a1abe07af5328639220e39bc6e54a3c5a6722,False,0,2026-06-29T03:48:05Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,0,1.0,,,True,[],False,pcgds_v2_00003_api_migration_state_transition_medium::openrouter_claude48::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,True,True,0.0,False,True,0.0,pcgds_v2_00003_api_migration_state_transition_medium
False,False,[],False,False,300,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00003_api_migration_state_transition_medium::openrouter_claude48::rolling_summary::budget300::run1,200,False,4e590a42531fcf759eb56205dd8c87f58206bd6c753bba0bf8f3b7372964cdb2,budget300_diagnostic,False,rolling_summary,d290d90ce14a2c56587d05f39999fe6cdc72f3b824aa74642d282b68111f3a76,"['API_03_14E3A9', 'API_03_387C99', 'API_03_D048D7', 'API_03_DE2EBD']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,7ae07d58396ed67d2f872aedd3e1b5f73da18d4273b71bd9c223835207f64649,False,[],False,openrouter,6,b48c04e28ac28ce1fb8e52a524bd262db59aa3e11f8bdb1ef555564fb8ff4571,False,0,2026-06-29T03:47:47Z,budget300_diagnostic,False,False,anthropic/claude-opus-4.8,4,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00003_api_migration_state_transition_medium::openrouter_claude48::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,False,False,False,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['N'], 'required_token_present_in_state': False}",False,True,True,False,0.0,False,False,0.0,pcgds_v2_00003_api_migration_state_transition_medium
