row_id,logical_request_hash,phase,method,budget,run_id,final_started_at_utc,final_finished_at_utc,state_call_started_min_utc,state_call_finished_max_utc,state_call_timing_available,state_call_timing_note,attempt_count,timed_final_attempt_count,provider_call_count_from_score,source_cassette_sha256,source_scores_sha256,source_cassette_row_sha256,source_score_row_sha256,source_cassette_line_number,source_score_line_number,timing_scope,provider_name,provider_tag,quantization,http_status,backend_error,returned_model_match,reasoning_content_present,reasoning_tokens_observed
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run1,0e6af999751a84dc775cdca1f74c9e5eef074a4d4be8397fdc2b9ad299cad460,admission,loop_only,1200,1,2026-06-29T11:24:51Z,2026-06-29T11:24:53Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,4,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,dc51cf9e18c008376f0051e5269aad6b85c1e43455ec6376d47aa240d502486d,9b6be915fbc123b87ba1a643f6a3be261cfe73877d1ea3f7bbb6fb1ffd04e092,1,1,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run1,35cb2aa8b94f1317cedfa349ddf7c067193e5d49c1efec3716a1d209c33133ea,admission,loop_only,600,1,2026-06-29T11:24:50Z,2026-06-29T11:24:52Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,4,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,40045935832efeeadddf8b1dbcad3d27d794a54d68e824f1bc56f3976bf80187,d6bd55e507f801e720cd18800588d1e386485d6e0727e9a186c4ae155bcfc7f8,2,2,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run1,66459ab4ee8014c3ec136ea7b75bb06528efdfdd28551b2f70bce39844e6a22e,admission,mature_ssr_loop,1200,1,2026-06-29T11:24:50Z,2026-06-29T11:24:50Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,3,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,c239498cd23483203ce3e8cb6ac73054ffda069a53c5d9fe70a0e074e7faac60,fd5b1d0baf103b28e344d79a01aa13dde66c34d285fac9b7433bdb1dd9c5aec2,3,3,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,3a6855918124997ce3d431b6e987382f8c3a441a9bbcc4342b13e6bae5551e15,admission,mature_ssr_loop,300,1,2026-06-29T11:24:58Z,2026-06-29T11:24:58Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,3,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,ae8dd0a05c19e9fa998326c8548e5d493a0125d5aa384d6e5b84c7befd294651,f7fb1c6e40f00a936194cfa3a2421cf6508519efb3837bfc98315f7e7cdb3e57,4,4,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget600::run1,11debc391bfcd065571bf582a26d384c5a7dc88d2fd1ef171331c68e53b7c628,admission,mature_ssr_loop,600,1,2026-06-29T11:24:49Z,2026-06-29T11:24:49Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,3,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,94aa38236060312c8d00605bae0871292c36a2df4ba940f039edd2d2b5040fc4,0c947bdd5997538bf8074db28c6125115df8260013437f450a30dcc1bc9f84cc,5,5,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget1200::run1,8176af933bde1402f27e38c2ad6b7a6da4624aa6e205ab1bdbe5ab7666bbe3b1,admission,rolling_summary,1200,1,2026-06-29T11:24:51Z,2026-06-29T11:24:54Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,4,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,adc6d09f5fb6e1e88617909e1d2548b40ce28990a99d8161b9c8178aa7987d48,7ba598fb1f11449afca3f2536ca2a1254703143b65e181b09988d83b37b1b862,6,6,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,fc8d2d8e70d3516157349d8755161840b72eab6f221854367ee2a8377ef41ed6,admission,rolling_summary,300,1,2026-06-29T11:25:00Z,2026-06-29T11:25:02Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,4,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,07306e43a2050947fb9e99d314625a3614a448ac2eed62a6db233440b780af9d,219d12e5bc2a990a7e16d4739bbe33299c9503250c503bf84598155c28fe191a,7,7,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget600::run1,89a81437e814ef45fb54009c19adedebe80cc874bff6e09e6cb5cc47c1778f88,admission,rolling_summary,600,1,2026-06-29T11:24:51Z,2026-06-29T11:24:54Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,4,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,b6c3247a53acdca2c05a0499bbfac771541f814214b064f8d53209c222d76546,38be591f39ca0cefac4ca8f9103609fed8eb09e3301c3ec3541621ee9322727f,8,8,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget1200::run1,b627f15960c41be8599e29811bc3bcca32e4e8893f30d169a958a73963c0b4d9,admission,rolling_visible_carry_forward,1200,1,2026-06-29T11:24:53Z,2026-06-29T11:24:57Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,4,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,9feeef71e1d84815eef847bd3608334c59e8d60216ecdfe194cf48e697065cea,440134f233a691c969b0a5e3a8286177cd6ac8ad8da7845832bcd6332b5adeff,9,9,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget300::run1,0d8cc367306b86b71ffb7c1323b95974cf945964e5c900d2aabbb380eb4ae086,admission,rolling_visible_carry_forward,300,1,2026-06-29T11:25:00Z,2026-06-29T11:25:03Z,,,False,cassette state_calls summarize provider calls but do not expose per-state-call started_at_utc/finished_at_utc,1,1,4,1471cecc761e86064d93d0c8cbf77d97f44b2125ad0ae33e442759e936969be9,3fe8bebbc1718d974c22aaf14d4afadd0d14f5c0498185aaf5e03c7b8af0a7a2,e429b0a9eb7a45c7db047e0f94a6a76427f7299be9dcf365460bcb6e67631aa2,95c965a8f460e8e61f25cc8c90e722a2a73176bf9fe8bb1d1cb5ec039b58a536,10,10,final_answer_provider_attempts_only,Alibaba,alibaba/opensource,unknown,200,False,True,False,0
